Con1	S1_1	S2_4	Con2	S2_2	S2_3	S5_1	E4_1	E4_3	S4_4	E5_2	N3_3	E4_2	E3_1	N3_2	S4_1	E3_4	E7_4	E5_3	E7_3	N6_4	N6_3	N3_1	S6_3	S5_3	E5_1	Con4	E3_2	E7_2	S6_4	S7_4	S4_3	S7_1	S1_2	S6_1	S1_4	S7_3	S5_4	N6_2
name38	0.00234619395203337	0.0891227841501564	0.00938477580813347	0.000293274244004171	0.0411561522419187	0.0336287799791449	0.00231360792492179	0	0	0.000391032325338895	0	0	0	0.00110792492179353	0	0.000228102189781022	6.51720542231491e-05	0	0	0	0	0	0	0	0.00364963503649635	0	0.000782064650677789	0.00107533889468196	3.25860271115746e-05	0	0.000521376433785193	0.000162930135557873	0.00834202294056309	0.0525938477580813	0	0.0426551094890511	0.000260688216892596	0.000651720542231491	0
name39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51720542231491e-05	0	0	0	0	0	0	0	0.000488790406673618	0	0	0.000130344108446298	0	0	0	0	0	0	0	0	0	0	0	0	0
name40	0.0033237747653806	9.77580813347237e-05	0.000488790406673618	0.00824426485922836	0.000162930135557873	0.000521376433785193	0.000195516162669447	0.000521376433785193	0.000977580813347237	0.000391032325338895	0	0.000195516162669447	0.000228102189781022	0	0.000195516162669447	6.51720542231491e-05	0.000879822732012513	0.000130344108446298	0.000162930135557873	0.000293274244004171	0	6.51720542231491e-05	0.000130344108446298	0.000912408759124088	0.000391032325338895	0.000195516162669447	0.00560479666319082	6.51720542231491e-05	0.000162930135557873	0.00035844629822732	3.25860271115746e-05	3.25860271115746e-05	9.77580813347237e-05	0.000162930135557873	0.00136861313868613	0.000553962460896767	0	0.00127085505735141	0
name41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25860271115746e-05	0
name42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000293274244004171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
name43	0	0.000162930135557873	0.000162930135557873	0.000195516162669447	9.77580813347237e-05	0	0	3.25860271115746e-05	0	9.77580813347237e-05	0.000391032325338895	9.77580813347237e-05	3.25860271115746e-05	0	0.000195516162669447	6.51720542231491e-05	0	0	0.000162930135557873	0	0.000228102189781022	0	0.000130344108446298	0	0	9.77580813347237e-05	3.25860271115746e-05	0	0	0	0.000130344108446298	0	0.000130344108446298	0	0	0.000325860271115746	6.51720542231491e-05	0	0
name44	6.51720542231491e-05	0.000195516162669447	6.51720542231491e-05	3.25860271115746e-05	9.77580813347237e-05	3.25860271115746e-05	9.77580813347237e-05	0	3.25860271115746e-05	3.25860271115746e-05	9.77580813347237e-05	0.000130344108446298	0	0	0.000586548488008342	0	0	0	6.51720542231491e-05	0	3.25860271115746e-05	0	0.000651720542231491	0	6.51720542231491e-05	0	0	0.000130344108446298	0	0	0	0	0.000162930135557873	0	3.25860271115746e-05	0.000130344108446298	0	0	0
name45	0.000162930135557873	3.25860271115746e-05	0.00430135557872784	0	6.51720542231491e-05	0	3.25860271115746e-05	0.000130344108446298	3.25860271115746e-05	6.51720542231491e-05	0.000162930135557873	0.00645203336809176	0.000162930135557873	0	0.00306308654848801	0.00110792492179353	9.77580813347237e-05	6.51720542231491e-05	6.51720542231491e-05	6.51720542231491e-05	0.00107533889468196	0	0.00355187695516163	0.000162930135557873	0.00257429614181439	0	9.77580813347237e-05	9.77580813347237e-05	3.25860271115746e-05	3.25860271115746e-05	0.000162930135557873	3.25860271115746e-05	0.000162930135557873	0	9.77580813347237e-05	0.00169447340980188	0.000228102189781022	9.77580813347237e-05	0
name46	0	3.25860271115746e-05	0	0	0	0	0	9.77580813347237e-05	0	0	3.25860271115746e-05	3.25860271115746e-05	0	0	0	6.51720542231491e-05	0	0	0	0	0	0	0	6.51720542231491e-05	6.51720542231491e-05	3.25860271115746e-05	0	0	0	0	0	0	0	3.25860271115746e-05	0	0	0	0	0
name47	0.000162930135557873	0.000456204379562044	0.000879822732012513	0.000977580813347237	0.000521376433785193	0.000162930135557873	0.000749478623566215	0.000684306569343066	0.000293274244004171	6.51720542231491e-05	0.00215067778936392	0.00263946819603754	9.77580813347237e-05	9.77580813347237e-05	0.00195516162669447	0.000553962460896767	0.000391032325338895	0.000228102189781022	0.000879822732012513	0.000130344108446298	0.000456204379562044	9.77580813347237e-05	0.00182481751824818	0.000488790406673618	0.000847236704900939	0.000521376433785193	0.000293274244004171	0.000619134515119917	0.000260688216892596	0.000130344108446298	0.000293274244004171	6.51720542231491e-05	0.000162930135557873	0.000325860271115746	0.000195516162669447	0.000521376433785193	0.000162930135557873	0.000260688216892596	3.25860271115746e-05
